GLISAN JR BEN F,ben,market,enron,credit,david,capac,close,metal,j,effort,mark,michael,team,call,sale,raptor,john,f,facil,transact,subject,r,cc,chris,ene,greg,communicationsenron,andrew,dave,glisanhouectect,allegheni,bank,p,jim,kevin,financ,new,complet,thank,louis,entir,pleas,trade,report,w,ani,import,celebr,physic,20,jordan,structur,peaker,ann,price,busi,news,rodney,matthew,peter,jeffrey,exist,communic,richard,gwhalleynsf,kenneth,3,debt,pm,whalleyhouectect,cost,end,million,origin,receiv,know,like,commit,delaineyhoueese,lori,swap,fastowhouectect,clive,deriv,mitrohouectect,angela,lesli,jinsung,berney,phillip,millerenronenronxg,tax,1,elizabeth,lay,liquid,janic,janin,order,scott,tweedhouectect,warren,willhouectect,jame,name,l,tregareuenronenron,robert,benjamin,keenanhouectect,manncorpenronenron,cris,timothi,attach,sagerhouectect,posit,larri,need,thoma,concern,brownlonectect,lloyd,rick,joseph,kopperhouectect,mitch,melissa,theresa,c,catharina,howard,addit,mike,fund,donahuehouectenron,novemb,bill,ross,everyon,grant,kristichhouectect,yesterday,rais,janet,215,paul,warrant,millerhouectect,inventori,d,loss,exceed,creation,simpsonhouectect,bn,confer,justin,carolyn,announc,kay,long,homcohouectect,line,congratul,default,m,robinsoncorpenronenron,eghneimcorpenronenron,detail,william,2000,ron,follow,rogershouectect,hansenhouectect,gus,prestohouectect,sheila,approxim,compani,meet,jacobyhouectect,jodi,day,kellermeyerhouectect,base,could,think,virgohouectect,boothnaenronenron,sell,find,tuesday,zimmermanenron,much,moorehouectect,hoffhouectect,week,jeff,manag,
 ,43,40,39,39,32,27,24,21,21,19,19,18,18,18,18,17,16,15,15,15,15,15,15,15,14,14,14,14,13,13,13,12,12,12,12,12,12,12,12,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
CALGER CHRISTOPHER F,louis,product,subject,would,f,christoph,kitchen,chris,cc,pm,dwr,call,get,deal,approv,agreement,power,pleas,cost,origin,time,turbin,ani,price,contract,work,jeff,2702pst,regard,enron,calger,issu,like,project,want,forward,re,year,sale,sempra,credit,need,may,us,calgerpdxectect,week,requir,rate,portland,today,pastoria,ena,know,interest,market,discuss,propos,1,day,jdasovicnsf,term,california,trade,go,procur,sent,next,done,tri,comment,develop,creat,gas,messag,think,draft,util,financ,put,puc,custom,new,let,attach,structur,mike,dave,thank,one,keep,close,look,2001,tim,calpin,2,take,energi,relat,review,purchas,onli,month,dale,revenu,5,two,total,updat,allegheni,mechan,expect,friday,also,respons,chang,cdwr,make,generat,bid,michael,problem,west,manag,start,valu,procedur,option,payment,monday,risk,still,oper,veri,cst,fyi,transfer,bond,john,embed,posit,20,last,per,amita,center,desk,negoti,letter,group,sell,transport,las,calgerpdxect,chip,financi,short,activ,vega,use,creditworthi,david,independ,receiv,core,water,tomorrow,sheet,5034643735,pay,file,good,schedul,meet,buy,j,book,provid,sign,say,note,morn,doe,final,ben,toll,offic,busi,commit,continu,lawyer,includ,state,support,offer,team,capit,talk,15,coupl,
 ,197,167,147,132,131,130,121,111,109,106,104,102,101,95,93,92,87,85,84,83,81,81,81,81,81,78,78,77,77,76,76,76,73,71,69,67,66,63,63,62,60,59,58,58,57,56,55,54,54,53,51,49,49,48,48,48,47,47,47,46,46,46,46,46,46,46,45,44,44,44,43,43,43,43,42,42,42,42,41,41,41,40,40,40,40,40,39,39,39,39,38,38,38,37,36,36,36,36,35,35,35,34,34,34,33,33,33,32,32,32,32,32,32,32,31,31,30,30,30,30,30,30,29,29,29,29,29,29,29,29,28,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,
DELAINEY DAVID W,david,w,pm,forward,subject,regard,cc,delainey,would,ddelainnsf,enron,delaineyhouect,pleas,delaineyhouectect,ena,need,market,john,manag,deal,meet,dave,get,like,busi,time,power,work,discuss,project,ani,thank,know,mark,group,team,issu,us,gas,let,year,plan,j,20,think,guy,review,want,new,one,may,week,cost,energi,price,follow,includ,valu,call,provid,go,origin,current,m,develop,also,re,2000,unit,make,r,veri,complet,report,communic,look,approv,trade,risk,asset,jeff,generat,list,take,interest,servic,transact,schedul,janet,could,america,attach,support,chang,1,process,plant,2001,rob,next,well,see,custom,offic,structur,mike,l,kevin,peopl,turbin,opportun,compani,suggest,inform,jame,continu,howev,ee,2,coal,c,joe,addit,date,last,onli,given,agreement,product,d,give,two,question,commerci,kay,posit,requir,number,move,believ,good,help,3,day,industri,detail,strategi,util,use,close,term,e,direct,perform,scott,offer,back,organ,respons,houston,ensur,effort,thought,corp,capit,point,increas,oper,system,month,understand,note,agre,base,build,execut,north,avail,tim,staff,come,communicationsenron,sale,jim,lavoratocorpenronenron,first,brian,set,wes,europ,put,ask,million,email,rick,chris,invest,expect,befor,richard,
 ,5944,5245,4150,3705,3584,3499,3435,3360,3131,2924,2846,2389,1944,1862,1794,1747,1732,1724,1703,1679,1558,1547,1539,1512,1500,1469,1462,1452,1414,1352,1308,1303,1292,1249,1230,1206,1206,1201,1200,1169,1128,1086,1058,1047,1046,977,975,940,938,934,924,915,904,891,860,858,856,851,847,841,825,824,822,819,806,797,796,793,776,773,773,770,759,753,752,749,746,744,724,723,714,711,702,701,684,673,670,662,657,654,653,653,652,649,646,645,626,616,611,610,609,603,600,595,595,591,589,589,587,585,581,580,580,576,571,570,570,568,567,566,561,560,558,551,549,548,546,545,540,536,536,534,533,532,532,517,515,514,512,509,508,506,505,499,497,493,491,490,484,480,480,471,471,469,468,466,466,464,462,460,460,455,455,453,453,451,450,443,440,440,440,436,436,435,432,431,429,428,425,415,413,412,412,409,406,404,404,403,403,403,403,402,400,397,396,393,393,391,391,389,
SKILLING JEFFREY K,jeff,thank,20,subject,enron,pm,cc,pleas,compani,messag,ani,survey,report,busi,would,may,forward,skill,inform,need,event,manag,help,sherri,know,like,network,jskillinpst,time,global,dinner,skillingcorpenronenron,call,jskillinnsf,regard,practic,also,communic,jeffskillingenroncom,mr,energi,ask,number,want,david,re,investig,one,kevin,mark,expens,us,erica,houston,knowledg,present,sent,attach,project,make,goal,look,email,discuss,get,turkish,murdock,work,learn,schedul,joanni,joe,member,copi,link,see,meet,globe,opportun,particip,use,futur,unit,activ,confidenti,john,jerri,confer,sera,macerich,analyst,follow,skillingcorpenron,p,current,harri,2001,let,new,oper,team,associ,sector,find,gama,monday,past,telephon,check,import,program,firm,click,school,complet,resum,mind,date,rotat,plan,attend,studi,pledg,best,ill,avail,think,srs,brief,error,compar,trakya,strict,offic,harvard,club,peopl,greg,group,well,direct,jame,offici,news,hbs,today,15,execut,simpli,bring,evalu,involv,featur,lead,great,actual,end,becaus,minut,im,ms150,rais,approv,tomorrow,take,begin,appropri,refer,aa,reserv,bureaucrat,go,michael,better,unabl,specif,topic,veri,research,experi,next,websit,j,respons,yes,save,way,invit,initi,year,axi,benefit,fax,guest,throughout,ethink,employe,hope,organ,howev,
 ,211,121,107,103,98,97,96,92,86,86,75,71,70,69,68,68,63,62,58,54,51,50,50,49,49,49,48,47,46,46,45,45,44,44,43,41,41,40,40,39,38,37,37,36,36,36,36,35,35,35,35,35,35,35,35,35,34,34,33,33,33,33,33,32,32,32,32,31,31,31,31,31,31,30,30,30,30,30,29,29,29,29,28,28,28,27,27,27,27,27,26,26,26,25,25,25,25,25,24,24,24,24,24,24,24,24,23,22,22,22,22,22,22,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,
RICE KENNETH D,espeak,enron,ethink,joe,password,log,communic,email,20,event,ask,sutton,ethinkenroncom,site,pleas,subject,ani,sent,first,requir,idea,time,account,talk,commod,futur,way,sign,address,forum,regist,today,want,share,enter,userid,interact,particip,ken,mark,varieti,invit,compani,houston,busi,use,peopl,begin,inform,friday,also,cc,person,know,announcementsenron,send,feedback,better,offic,minut,easi,applic,0909,j,financi,guy,john,need,earli,team,havent,past,worldwid,chang,tell,hold,join,hour,prompt,1,simpl,may,befor,930,break,barrier,keep,onto,oper,onc,one,alreadi,guest,2,copi,19,take,plan,impact,get,across,qa,innov,comment,schedul,immedi,intranet,develop,receiv,suggest,speaker,momentum,unit,encourag,within,automat,opportun,cowork,novemb,field,cliff,hedg,asian,staff,control,communicationsenron,work,david,ena,w,date,argentina,bueno,card,greg,posit,liz,parti,jeff,interest,holiday,air,jame,jeffrey,attorney,trust,banker,custom,link,pm,m,power,nymex,let,think,name,bob,direct,call,prepar,10,15,respond,3,altern,dorman,contact,4,specif,terri,june,signific,kate,diomed,everyoneeogdenv,veri,fastowhouectect,sherrickcorpenronenron,09mark,impli,ten,x31935,click,richard,cindi,net,peggi,fowlerenronenronxg,taylorenron,riceenron,30,gwhalleynsf,t20,olsoncorpenronenron,via,sanjay,skillingcorpenronenron,next,0255,relat,
 ,49,48,42,35,35,28,27,26,24,21,21,21,21,21,20,20,18,17,17,17,16,16,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,11,11,11,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
